cod;nome;período;homicidios-por-armas-de-fogo;homicidios-de-homens-por-armas-de-fogo;homicidios-homens;homicidios-de-jovens;homicidios-de-mulheres-por-armas-de-fogo;homicidios-mulheres-negras;homicidios-nao-negros;homicidios-mulheres;homicidios-de-jovens-homens;homicidio-de-jovens-por-armas-de-fogo;homicidios-homens-negros;homicidios;homicidios-de-jovens-mulheres;homicidios-homens-nao-negros;homicidios-negros;homicidios-mulheres-nao-negras
28;SE;1979;22;;;;;;;;21;;;;4;;;
27;AL;1979;131;;;;;;;;104;;;;6;;;
26;PE;1979;297;;;;;;;;346;;;;41;;;
25;PB;1979;71;;;;;;;;74;;;;12;;;
24;RN;1979;46;;;;;;;;40;;;;6;;;
23;CE;1979;85;;;;;;;;128;;;;17;;;
22;PI;1979;7;;;;;;;;12;;;;4;;;
52;GO;1979;163;;;;;;;;125;;;;18;;;
21;MA;1979;34;;;;;;;;30;;;;5;;;
17;TO;1979;0;;;;;;;;0;;;;0;;;
16;AP;1979;5;;;;;;;;7;;;;1;;;
15;PA;1979;117;;;;;;;;127;;;;19;;;
14;RR;1979;2;;;;;;;;2;;;;1;;;
13;AM;1979;55;;;;;;;;80;;;;4;;;
12;AC;1979;13;;;;;;;;14;;;;0;;;
11;RO;1979;50;;;;;;;;35;;;;3;;;
53;DF;1979;28;;;;;;;;49;;;;4;;;
51;MT;1979;2;;;;;;;;4;;;;0;;;
50;MS;1979;62;;;;;;;;52;;;;6;;;
43;RS;1979;193;;;;;;;;226;;;;20;;;
42;SC;1979;79;;;;;;;;70;;;;5;;;
41;PR;1979;379;;;;;;;;276;;;;38;;;
35;SP;1979;570;;;;;;;;1061;;;;135;;;
33;RJ;1979;1726;;;;;;;;1203;;;;69;;;
32;ES;1979;82;;;;;;;;93;;;;11;;;
31;MG;1979;435;;;;;;;;404;;;;73;;;
29;BA;1979;116;;;;;;;;114;;;;17;;;
11;RO;1980;67;;;;;;;;39;;;;4;;;
12;AC;1980;12;;;;;;;;14;;;;2;;;
13;AM;1980;46;;;;;;;;64;;;;9;;;
14;RR;1980;0;;;;;;;;3;;;;2;;;
15;PA;1980;169;;;;;;;;143;;;;19;;;
16;AP;1980;2;;;;;;;;6;;;;0;;;
17;TO;1980;0;;;;;;;;0;;;;0;;;
21;MA;1980;29;;;;;;;;34;;;;7;;;
22;PI;1980;6;;;;;;;;25;;;;3;;;
23;CE;1980;159;;;;;;;;181;;;;11;;;
32;ES;1980;122;;;;;;;;113;;;;16;;;
33;RJ;1980;2093;;;;;;;;1531;;;;104;;;
35;SP;1980;699;;;;;;;;1678;;;;171;;;
41;PR;1980;367;;;;;;;;291;;;;35;;;
42;SC;1980;119;;;;;;;;103;;;;11;;;
43;RS;1980;227;;;;;;;;268;;;;23;;;
50;MS;1980;118;;;;;;;;77;;;;10;;;
51;MT;1980;22;;;;;;;;12;;;;1;;;
52;GO;1980;226;;;;;;;;155;;;;28;;;
53;DF;1980;21;;;;;;;;67;;;;7;;;
24;RN;1980;77;;;;;;;;75;;;;5;;;
25;PB;1980;127;;;;;;;;106;;;;13;;;
26;PE;1980;613;;;;;;;;446;;;;55;;;
27;AL;1980;148;;;;;;;;112;;;;19;;;
28;SE;1980;30;;;;;;;;26;;;;6;;;
29;BA;1980;139;;;;;;;;112;;;;18;;;
31;MG;1980;466;;;;;;;;444;;;;51;;;
23;CE;1981;187;;;;;;;;194;;;;23;;;
53;DF;1981;81;;;;;;;;71;;;;11;;;
52;GO;1981;268;;;;;;;;211;;;;28;;;
51;MT;1981;38;;;;;;;;33;;;;7;;;
50;MS;1981;147;;;;;;;;81;;;;14;;;
43;RS;1981;237;;;;;;;;298;;;;29;;;
42;SC;1981;105;;;;;;;;103;;;;10;;;
41;PR;1981;451;;;;;;;;323;;;;37;;;
35;SP;1981;958;;;;;;;;2166;;;;176;;;
33;RJ;1981;1774;;;;;;;;1247;;;;79;;;
32;ES;1981;130;;;;;;;;149;;;;28;;;
31;MG;1981;374;;;;;;;;410;;;;72;;;
29;BA;1981;124;;;;;;;;113;;;;15;;;
28;SE;1981;36;;;;;;;;32;;;;3;;;
27;AL;1981;190;;;;;;;;121;;;;27;;;
26;PE;1981;758;;;;;;;;567;;;;69;;;
25;PB;1981;133;;;;;;;;114;;;;13;;;
24;RN;1981;80;;;;;;;;67;;;;10;;;
22;PI;1981;23;;;;;;;;25;;;;3;;;
21;MA;1981;54;;;;;;;;58;;;;6;;;
17;TO;1981;0;;;;;;;;0;;;;0;;;
16;AP;1981;4;;;;;;;;9;;;;2;;;
15;PA;1981;171;;;;;;;;144;;;;25;;;
14;RR;1981;2;;;;;;;;8;;;;3;;;
13;AM;1981;52;;;;;;;;73;;;;7;;;
12;AC;1981;8;;;;;;;;13;;;;1;;;
11;RO;1981;67;;;;;;;;39;;;;7;;;
11;RO;1982;79;;;;;;;;26;;;;11;;;
12;AC;1982;18;;;;;;;;16;;;;2;;;
13;AM;1982;58;;;;;;;;68;;;;8;;;
14;RR;1982;1;;;;;;;;10;;;;2;;;
